app_no,license_type,application_date,status,fru_interview_scheduled,drug_test,wav_course,defensive_driving,driver_exam,medical_clearance_form,other_requirements,last_update,days_since_last_update
6078843,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078850,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078825,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078828,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078856,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078815,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078847,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078814,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078832,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078824,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078812,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078851,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078823,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078834,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078816,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078810,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078841,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078818,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078840,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078839,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078827,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078826,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078845,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078813,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078817,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078831,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078855,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078848,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078858,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078838,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078860,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078822,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078820,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078821,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
6078842,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T17:00:04.000,0
