app_no,license_type,application_date,status,fru_interview_scheduled,drug_test,wav_course,defensive_driving,driver_exam,medical_clearance_form,other_requirements,last_update
6078070,HDR,2024-07-10T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077237,HDR,2024-06-25T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6075282,HDR,2024-05-23T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6074502,HDR,2024-05-13T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078225,HDR,2024-07-12T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6075142,HDR,2024-05-21T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078740,HDR,2024-07-22T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078033,HDR,2024-07-10T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6077500,HDR,2024-06-29T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078657,HDR,2024-07-19T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6075713,HDR,2024-05-30T00:00:00.000,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077914,HDR,2024-07-08T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078077,HDR,2024-07-10T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077424,HDR,2024-06-28T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078350,HDR,2024-07-15T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6075956,HDR,2024-06-03T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6072820,HDR,2024-04-19T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6078267,HDR,2024-07-13T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6073600,HDR,2024-04-30T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6074155,HDR,2024-05-07T00:00:00.000,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078212,HDR,2024-07-12T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6075454,HDR,2024-05-26T00:00:00.000,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6076796,HDR,2024-06-17T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078325,HDR,2024-07-15T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6074116,HDR,2024-05-07T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6077711,HDR,2024-07-03T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6077585,HDR,2024-07-01T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6071912,HDR,2024-04-05T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078369,HDR,2024-07-15T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6076833,HDR,2024-06-18T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,2024-07-23T11:00:07.000
6076327,HDR,2024-06-10T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6072648,HDR,2024-04-17T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077336,HDR,2024-06-26T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6075223,HDR,2024-05-22T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6076832,HDR,2024-06-18T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6076183,HDR,2024-06-06T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078706,HDR,2024-07-21T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078688,HDR,2024-07-20T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078337,HDR,2024-07-15T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6072181,HDR,2024-04-10T00:00:00.000,Denied,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078731,HDR,2024-07-22T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077379,HDR,2024-06-27T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077589,HDR,2024-07-01T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6077703,HDR,2024-07-03T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6076467,HDR,2024-06-12T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078420,HDR,2024-07-16T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6077311,HDR,2024-06-26T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,2024-07-23T11:00:07.000
6078345,HDR,2024-07-15T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077566,HDR,2024-07-01T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6078824,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077447,HDR,2024-06-28T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6075850,HDR,2024-06-01T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6072758,HDR,2024-04-18T00:00:00.000,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078169,HDR,2024-07-11T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078095,HDR,2024-07-10T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6076019,HDR,2024-06-04T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6078712,HDR,2024-07-21T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6074408,HDR,2024-05-11T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6074151,HDR,2024-05-07T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077893,HDR,2024-07-08T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6076624,HDR,2024-06-14T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6076414,HDR,2024-06-11T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6075086,HDR,2024-05-21T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6076441,HDR,2024-06-11T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6075480,HDR,2024-05-27T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6077714,HDR,2024-07-03T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6073966,HDR,2024-05-05T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6077926,HDR,2024-07-08T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6076896,HDR,2024-06-19T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6076464,HDR,2024-06-12T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6072250,HDR,2024-04-11T00:00:00.000,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078751,HDR,2024-07-22T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6074653,HDR,2024-05-15T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6073282,HDR,2024-04-25T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6075847,HDR,2024-06-01T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6076877,HDR,2024-06-19T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078735,HDR,2024-07-22T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6075332,HDR,2024-05-23T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,2024-07-23T11:00:07.000
6078649,HDR,2024-07-19T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6074430,HDR,2024-05-11T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078589,HDR,2024-07-18T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078218,HDR,2024-07-12T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6076280,HDR,2024-06-08T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6077485,HDR,2024-06-29T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078138,HDR,2024-07-11T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078531,HDR,2024-07-18T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6076043,HDR,2024-06-04T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6078175,HDR,2024-07-12T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077708,HDR,2024-07-03T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6073232,HDR,2024-04-24T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6072846,HDR,2024-04-19T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6073551,HDR,2024-04-29T00:00:00.000,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6078195,HDR,2024-07-12T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6075527,HDR,2024-05-27T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6076766,HDR,2024-06-17T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,2024-07-23T11:00:07.000
6071960,HDR,2024-04-06T00:00:00.000,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,2024-07-23T11:00:07.000
6078261,HDR,2024-07-13T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077443,HDR,2024-06-28T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6077868,HDR,2024-07-07T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078155,HDR,2024-07-11T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078796,HDR,2024-07-22T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078410,HDR,2024-07-16T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078799,HDR,2024-07-22T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6073412,HDR,2024-04-27T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6077108,HDR,2024-06-23T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6072950,HDR,2024-04-22T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6073981,HDR,2024-05-06T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6073344,HDR,2024-04-26T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6071979,HDR,2024-04-07T00:00:00.000,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6074458,HDR,2024-05-12T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078612,HDR,2024-07-19T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6074211,HDR,2024-05-08T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078474,HDR,2024-07-17T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078477,HDR,2024-07-17T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077596,HDR,2024-07-01T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6077862,HDR,2024-07-07T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6074505,HDR,2024-05-13T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,2024-07-23T11:00:07.000
6073388,HDR,2024-04-26T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077193,HDR,2024-06-24T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6072444,HDR,2024-04-15T00:00:00.000,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,2024-07-23T11:00:07.000
6078086,HDR,2024-07-10T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6073191,HDR,2024-04-24T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077728,HDR,2024-07-03T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6076145,HDR,2024-06-06T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077013,HDR,2024-06-21T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6073640,HDR,2024-04-30T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,2024-07-23T11:00:07.000
6075737,HDR,2024-05-30T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6075575,HDR,2024-05-28T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6071965,HDR,2024-04-07T00:00:00.000,Denied,Not Applicable,Needed,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,2024-07-23T11:00:07.000
6078793,HDR,2024-07-22T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6072274,HDR,2024-04-11T00:00:00.000,Denied,Not Applicable,Complete,Needed,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6072567,HDR,2024-04-16T00:00:00.000,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077160,HDR,2024-06-24T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078637,HDR,2024-07-19T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077798,HDR,2024-07-05T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077119,HDR,2024-06-23T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6076676,HDR,2024-06-14T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077574,HDR,2024-07-01T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6073553,HDR,2024-04-29T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077762,HDR,2024-07-04T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6076357,HDR,2024-06-10T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
